tissue,resolutoin,markers,names,manual_CLname,manual_CLID
dental,full,"TTN, MYH3, NEB, RYR1, MYBPC1, TNNT3, LDB3, MYLPF, MYOM1, ACTN2, AGBL1, MEF2C, RBFOX1, TPM2, ANK2, MEG8, MEG3, LAMA2, CACNA2D1, DMD, HIF3A, FGF13, SGCD, PALLD, CELF2, LRRFIP1, GNAS, PRKG1, MICU1, MAP4, DLG2, SPTBN1, TMEM108, MACF1, KIF1B, SVIL, NCOA1, NAV2, QKI, PPP1R9A, RBFOX2, AKAP9",Skeletal_myocytes,cell of skeletal muscle,CL:0000188
dental,full,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, S100A9, SPINK5, SPRR3, KRT4, DSG3, AC068051.1, DSP, DSC2, EMP1, KRT17, ANXA1, PERP, PPL, KRT5, NEAT1, DOCK3, AHNAK, CAST, ANXA2, ACTG1, PITX1, RPLP1, RAB11FIP1, CDH1, CUX1, ACTB, TMOD3, ABLIM1, KRT19, LINC00511, CAMK1D, PSD3, RAB10, PTPRF, SLC24A3, FER, VIM, EXOC6B, MALAT1, NEBL, PDZD2, ADGRL2, EGFR, GTF2IRD1, KDM2A, ROBO2, ARL15, DLG1",Oral_epithelium,oral mucosa squamous cell,CL:1001576
dental,full,"KRT17, KRT5, NLGN1, PRKCA, CASC15, SLC20A2, DST, TNFRSF19, LINC01060, CUX2, PLXDC2, SCUBE3, MIR99AHG, MPPED1, RYR2, ENOX1, KCNIP4, RPLP1, FRAS1, BNC2, ROR2, PSD3, PCDH7, ARHGAP26, SDK1, ADGRL3, TENM3, AFF3, MSI2, CNTN4, EXOC6B, MACF1, LAMB1, C9orf3, ATXN1, CUX1, AHCYL2, MAGI1, TRIO, NRXN3, FGFR2, KANK1, HMGA2, WWOX, FLNB, GRIP1, MAML3, EFNA5, ASAP1, GTF2IRD1, PALLD, CADM1",Dental_epithelium,preameloblast,CL:0007000
dental,full,"SGCZ, COL1A1, COL1A2, GPC6, VIM, COL12A1, MIR100HG, TENM3, BNC2, ACTG1, EBF1, NCAM2, NAV3, CNTNAP2, FBN2, CDH11, COL3A1, ADGRL3, COL5A1, SLIT2, IGFBP5, SGCD, COL6A2, LSAMP, PCDH9, COL5A2, PRRX1, FOXP2, NLGN1, KCNQ1OT1, ALCAM, CDK14, ZFHX3, FLRT2, AFF3, FRMD4A, SETBP1, SLIT3, CAMK1D, GSE1, TRIO, SDK1, PALLD",Respiratory_epithelium,respiratory epithelial cell,CL:0002368
dental,full,"ROBO1, DLG2, SOX5, CDH12, KCNIP4, COL3A1, LSAMP, SATB2, COL1A1, COL1A2, NLGN1, TMTC2, PTPRD, HDAC9, RUNX2, PTCH1, PTN, NRXN1, CDH11, VCAN, RSPO4, PLXDC2, GALNTL6, CACNB2, ROBO2, ADGRL3, NRG3, SYT1, AC109466.1, HMGA2, TMEM132C, VIM, GPC6, CDH13, SLIT3, CASC15, NEGR1, TMTC1, FGF13, EPHA3, KIF26B, FBN2, NFIC, IL1RAPL1, CNTN4, FBXL7, AFF3, FAT3, ROR2, TENM3, CLMP, PCDH9, COL6A2, PRRX1, KAZN, FLRT2, PDE5A, PRKG1, KLF12, PTPRG, PRKD1, GLI3, TEAD1, PHIP, RBFOX2, DLC1, TTC28, FRMD4A, PPP3CA, SETBP1",Dental_mesenchyme,dental pulp cell,CL:4030035
dental,full,"SFMBT2, AFF3, PRKCA, ELMO1, FCHSD2, RBPJ, RUNX1, LRMDA, QKI, ITPR2, MBNL1, PLXDC2, CELF2, FRMD4A, RABGAP1L, DIAPH2",Immune_cells,leukocyte,CL:0000738
dental,full,"CNTNAP2, ANK2, KCNIP4, NCAM2, CTNNA2, LINGO2, DSCAM, XKR4, FAM155A, NCAM1, KCNH7, FSTL5, CADPS, ALK, PLXNA4, HS6ST3, RIMS2, CTNND2, MYT1L, SYT1, AKAP6, NRG1, KCNB2, CACNA2D1, NRXN1, CNTN5, KIAA1211, RBFOX1, GRID2, SLC8A1, ENOX1, SEMA6D, ADGRL3, ADGRB3, LSAMP, BNC2, PCDH9, DCLK1, DPYD, MAGI2, KCNQ5, PTPRG, FGF13, NRG3, CLASP2, GPC6, MAP1B, LRP1B, CSMD1, BICD1, EBF1, CAMTA1, SDK1, FRMD4A, AFF3, DLG2, NBEA, SLIT3, DLGAP1, MEG3, PLEKHA5, KALRN, CADM1, DST, DMD, TRIO, CNTN4, UNC5C, ZSWIM6, GSE1, MACROD2, TRIM2, MAML3, TCF4, PTPRD, ANK3, SMYD3, NCOA1",Neuronal,neuron,CL:0000540
dental,full,"GMDS, NAALADL2, CCL28, KRT19, TFCP2L1, NEBL, BARX2, EHF, MAML2, SORBS2, TSHZ2, SHANK2, ETV6, SHROOM3, ATL2, RBM47, ACSM3, PRICKLE1, PPM1L, THSD4, EFNA5, MEIS2, WNT5B, KCNMA1, FHIT, PPP1R9A, IMMP2L, AGAP1, INSR, KIAA1217, PATJ, PKP4, PACS1, LRMDA, PTPRK, ANK3, ITPR2, UBE2H, PBX1, DTNB, PALLD, FARP1, GPHN, SIPA1L3, BAZ2B",Salivary_ductal_cells,striated cell of salivary gland,CL:4052049
dental,full,"DMD, FBXO32, FGFR1, NFIB, FGFR2, KAZN, PDE4D, PLCB1, MTSS1, PTPN14, CACNB4, KANK4, AL139383.1, MRTFA, ERBB4, FHOD3, CELF2, KIAA1217, MAML2, NRXN3, CHRM3, FRMD4B, PDGFC, COL4A2, STARD13, AHCYL2, NFAT5, LPP, PARD3, IMMP2L, PBX1, MEIS1, FNDC3B, NPAS3, NEDD4L, SYNE2, ARHGAP24, SVIL, EXOC6B, NXN, PKP4, ADK",Myoepithelial_cells,myoepithelial cell,CL:0000185
dental,full,"SHANK2, GMDS, PDE4D, ETV6, RBM47, KCNMA1, EHF, DTNB, MEIS2, BARX2, SHROOM3, PACS1, ERBB4, PATJ, FHIT, SORBS2, MAML2, NAALADL2, NFIA, INSR, CCL28, C4orf19, NEBL, ITPR2, CCSER1, SLC12A2, PPP1R9A, MCC, RERE, ANK3, CHPT1, PLCB1, ARHGEF28, WNT5B, ACSM3, ESRRG, CHRM3, FARP1, KRT19, CADPS2, PPM1L, WNK2, ATL2, PCAT1, TAOK3, NCALD, PDGFC, MEIS1, NT5C2, SIPA1L3, SH3RF1, LRBA, UNC5C, STK39, BAZ2B, MAST4, STOX2, AKAP13, LRMDA, PTPRK, SNHG14, FMNL2, PAN3, CDK6, GNAS",Salivary_epithelium,salivary gland cell,CL:0009005
dental,full,"AC016205.1, PDE4D, GMDS, MEIS2, DIAPH3, PLCB1, CHRM3, ERBB4, BRIP1, CENPP, LINC01572, SYNE2, TMEM108, NSD2, PDGFC, KANK1, DTNB, KCNMA1, CACNB4, WWOX, STARD13, FAF1, RAD51B, NAV2, SPIDR, ITGA6, NFIB, MCC, ITGA9, NFIA, PATJ, RANBP17, FRMD4B, CCSER1, STAG1, C4orf19, RBM47, MEIS1, CELF2, CDKAL1, DIAPH2",Salivary_epithelium_cycling,salivary gland cell,CL:0009005
dental,full,"COL1A2, COL1A1, CLU, COL24A1, NRG1, LINC01060, SPARC, DSPP, SLC38A11, PHEX, DOK6, GRAMD1B, MMP20, NES, AMBN, RETREG1, CREB3L1, SLC4A10, COL11A2, ADAMTS12, SATB2, MAP1B, NRG3, PCDH9, PCDH7, RASSF8, SEMA5A, MAGI2, MIR181A1HG, UTRN, FGFR1, MARCH3, AFF1, KIF26B, COLEC12, TRPM7, DCLK1, MYO1E, HIP1, AFAP1, TPST1, SLIT3, PDE4B, MTSS1, LARGE1, COL5A1, DST, IL1RAPL1, ZSWIM6, COL5A2, PLXDC2, PTN, ROBO1, FHOD3, NAV3, PDZD2, NLGN1, AGAP1, RBFOX2, EML4, COL27A1, CDK14, MAP4K3, CNTN4, SORBS2, RUNX2, PTPRK, SMYD3, MSI2, FNDC3B",Odontoblasts,odontoblast,CL:0000060
dental,full,"LDB2, PTPRM, EBF1, EMCN, TCF4, NRP1, PECAM1, PTPRG, MECOM, IGFBP7, HSPG2, COL4A1, NAV3, SPTBN1, PLEKHG1, ELMO1, PRKCH, ZFPM2, RASAL2, DOCK9, ADAMTS9, PEAK1, COL4A2, SASH1, ABLIM1, LRMDA, APBB2, ARL15, FLRT2, FBXL7, MAGI1, DOCK4, SSH2, UTRN, ZNF521, DLC1, MAP4K4, BMPR2, TTC28, MACF1, TRIO, GNAQ, ASAP1, PTK2, DIAPH2, PPP3CA, STOX2",Ednothelial_cells,endothelial cell,CL:0000115
dental,full,"GPC6, BNC2, TENM3, FBXL7, SGCZ, MIR100HG, LSAMP, SLIT3, NAV3, CNTNAP2, NLGN1, COL1A2, EBF1, SGCD, ADGRL3, PRRX1, SEMA3A, PTPRD, COL12A1, CDH11, KCNQ1OT1, ADGRB3, GRID2, FRMD4A, ROBO2, AFF3, SLIT2, CDK14, SETBP1, NCAM2, PCDH9, FBN2, IL1RAPL1, COL5A2, DLC1, PRKG1, BICC1, FLRT2, LDB2, ROBO1, GSE1, ZFHX3, PALLD, EFNA5, TMTC2, TTC28, PTPRG, MIR99AHG, DLG2, TRIO, PLXDC2, ROR1, RBFOX2",Jaw_Mesenchyme,mesenchymalï¿½stemï¿½cellï¿½ofï¿½theï¿½boneï¿½marrow,CL:0002540
dental,full,"RUNX2, COL1A1, COL1A2, FAT3, SATB2, UST, COL24A1, SOX6, ANO5, SLIT3, CD36, COL11A1, MEF2C, MYO10, SLC8A3, COL13A1, MAMDC2, CDH2, MIR181A1HG, ZBTB7C, SDK2, NCAM1, ELMO1, NEAT1, COL5A2, CPE, COL5A1, PCDH9, GPC6, GSN, CDH11, MAGI2, LDLRAD4, LGR4, MALAT1, ROBO2, ADGRB3, NAV3, CDK14, SPARC, TENM3, TRPS1, SLIT2, DLEU2, TMTC2, CADM1, DLG2, SEC31A, ROR2, PSD3, SND1, CLMP, FHOD3, KLF12, ZFHX3, LSAMP, SH3PXD2B, MAP4, KCNQ1OT1, GLG1, FGFR1, ROBO1, PRKG1, LMNA, SIK3, PLEKHA5, AHCYL2, EML4, JMJD1C, MAML3, RABGAP1L, PTPRG, FNDC3B, ADK, IGF2BP2, FRMD4B, RBFOX2, PALLD",Osteoblasts,osteoblast,CL:0000062
dental,full,"PAX7, AL589740.1, PCDH7, CLCN5, RBFOX1, DLG2, CDH13, LINC01266, ZEB2, NCOA1, PRKG1, GPC3, SPATS2L, FOXP2, SSH2, CELF2, TLN2, KCNQ1OT1, MEG3, TRIO, QKI, TCF4, RBFOX2, CUX1, CDK6, ADGRL3, FBXL7, MACF1, TTC28",Skeletal_myoblasts,skeletal muscle myoblast,CL:0000515
dental,full,"TTN, MYH3, NEB, RYR1, MYBPC1, TNNT3, LDB3, MYLPF, MYOM1, ACTN2, AGBL1, MEF2C, RBFOX1, TPM2, ANK2, MEG8, MEG3, LAMA2, CACNA2D1, DMD, HIF3A, FGF13, SGCD, PALLD, CELF2, LRRFIP1, GNAS, PRKG1, MICU1, MAP4, DLG2, SPTBN1, TMEM108, MACF1, KIF1B, SVIL, NCOA1, NAV2, QKI, PPP1R9A, RBFOX2, AKAP9",Skeletal_myocytes,cell of skeletal muscle,CL:0000188
dental,full,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, S100A9, SPINK5, SPRR3, KRT4, DSG3, AC068051.1, DSP, DSC2, EMP1, KRT17, ANXA1, PERP, PPL, KRT5, NEAT1, DOCK3, AHNAK, CAST, ANXA2, ACTG1, PITX1, RPLP1, RAB11FIP1, CDH1, CUX1, ACTB, TMOD3, ABLIM1, KRT19, LINC00511, CAMK1D, PSD3, RAB10, PTPRF, SLC24A3, FER, VIM, EXOC6B, MALAT1, NEBL, PDZD2, ADGRL2, EGFR, GTF2IRD1, KDM2A, ROBO2, ARL15, DLG1",Oral_epithelium,oral mucosa squamous cell,CL:1001576
dental,full,"KRT17, KRT5, NLGN1, PRKCA, CASC15, SLC20A2, DST, TNFRSF19, LINC01060, CUX2, PLXDC2, SCUBE3, MIR99AHG, MPPED1, RYR2, ENOX1, KCNIP4, RPLP1, FRAS1, BNC2, ROR2, PSD3, PCDH7, ARHGAP26, SDK1, ADGRL3, TENM3, AFF3, MSI2, CNTN4, EXOC6B, MACF1, LAMB1, C9orf3, ATXN1, CUX1, AHCYL2, MAGI1, TRIO, NRXN3, FGFR2, KANK1, HMGA2, WWOX, FLNB, GRIP1, MAML3, EFNA5, ASAP1, GTF2IRD1, PALLD, CADM1",Dental_epithelium,preameloblast,CL:0007000
dental,full,"SGCZ, COL1A1, COL1A2, GPC6, VIM, COL12A1, MIR100HG, TENM3, BNC2, ACTG1, EBF1, NCAM2, NAV3, CNTNAP2, FBN2, CDH11, COL3A1, ADGRL3, COL5A1, SLIT2, IGFBP5, SGCD, COL6A2, LSAMP, PCDH9, COL5A2, PRRX1, FOXP2, NLGN1, KCNQ1OT1, ALCAM, CDK14, ZFHX3, FLRT2, AFF3, FRMD4A, SETBP1, SLIT3, CAMK1D, GSE1, TRIO, SDK1, PALLD",Respiratory_epithelium,respiratory epithelial cell,CL:0002368
dental,full,"ROBO1, DLG2, SOX5, CDH12, KCNIP4, COL3A1, LSAMP, SATB2, COL1A1, COL1A2, NLGN1, TMTC2, PTPRD, HDAC9, RUNX2, PTCH1, PTN, NRXN1, CDH11, VCAN, RSPO4, PLXDC2, GALNTL6, CACNB2, ROBO2, ADGRL3, NRG3, SYT1, AC109466.1, HMGA2, TMEM132C, VIM, GPC6, CDH13, SLIT3, CASC15, NEGR1, TMTC1, FGF13, EPHA3, KIF26B, FBN2, NFIC, IL1RAPL1, CNTN4, FBXL7, AFF3, FAT3, ROR2, TENM3, CLMP, PCDH9, COL6A2, PRRX1, KAZN, FLRT2, PDE5A, PRKG1, KLF12, PTPRG, PRKD1, GLI3, TEAD1, PHIP, RBFOX2, DLC1, TTC28, FRMD4A, PPP3CA, SETBP1",Dental_mesenchyme,dental pulp cell,CL:4030035
dental,full,"SFMBT2, AFF3, PRKCA, ELMO1, FCHSD2, RBPJ, RUNX1, LRMDA, QKI, ITPR2, MBNL1, PLXDC2, CELF2, FRMD4A, RABGAP1L, DIAPH2",Immune_cells,leukocyte,CL:0000738
dental,full,"CNTNAP2, ANK2, KCNIP4, NCAM2, CTNNA2, LINGO2, DSCAM, XKR4, FAM155A, NCAM1, KCNH7, FSTL5, CADPS, ALK, PLXNA4, HS6ST3, RIMS2, CTNND2, MYT1L, SYT1, AKAP6, NRG1, KCNB2, CACNA2D1, NRXN1, CNTN5, KIAA1211, RBFOX1, GRID2, SLC8A1, ENOX1, SEMA6D, ADGRL3, ADGRB3, LSAMP, BNC2, PCDH9, DCLK1, DPYD, MAGI2, KCNQ5, PTPRG, FGF13, NRG3, CLASP2, GPC6, MAP1B, LRP1B, CSMD1, BICD1, EBF1, CAMTA1, SDK1, FRMD4A, AFF3, DLG2, NBEA, SLIT3, DLGAP1, MEG3, PLEKHA5, KALRN, CADM1, DST, DMD, TRIO, CNTN4, UNC5C, ZSWIM6, GSE1, MACROD2, TRIM2, MAML3, TCF4, PTPRD, ANK3, SMYD3, NCOA1",Neuronal,neuron,CL:0000540
dental,full,"GMDS, NAALADL2, CCL28, KRT19, TFCP2L1, NEBL, BARX2, EHF, MAML2, SORBS2, TSHZ2, SHANK2, ETV6, SHROOM3, ATL2, RBM47, ACSM3, PRICKLE1, PPM1L, THSD4, EFNA5, MEIS2, WNT5B, KCNMA1, FHIT, PPP1R9A, IMMP2L, AGAP1, INSR, KIAA1217, PATJ, PKP4, PACS1, LRMDA, PTPRK, ANK3, ITPR2, UBE2H, PBX1, DTNB, PALLD, FARP1, GPHN, SIPA1L3, BAZ2B",Salivary_ductal_cells,striated cell of salivary gland,CL:4052049
dental,full,"DMD, FBXO32, FGFR1, NFIB, FGFR2, KAZN, PDE4D, PLCB1, MTSS1, PTPN14, CACNB4, KANK4, AL139383.1, MRTFA, ERBB4, FHOD3, CELF2, KIAA1217, MAML2, NRXN3, CHRM3, FRMD4B, PDGFC, COL4A2, STARD13, AHCYL2, NFAT5, LPP, PARD3, IMMP2L, PBX1, MEIS1, FNDC3B, NPAS3, NEDD4L, SYNE2, ARHGAP24, SVIL, EXOC6B, NXN, PKP4, ADK",Myoepithelial_cells,myoepithelial cell,CL:0000185
dental,full,"SHANK2, GMDS, PDE4D, ETV6, RBM47, KCNMA1, EHF, DTNB, MEIS2, BARX2, SHROOM3, PACS1, ERBB4, PATJ, FHIT, SORBS2, MAML2, NAALADL2, NFIA, INSR, CCL28, C4orf19, NEBL, ITPR2, CCSER1, SLC12A2, PPP1R9A, MCC, RERE, ANK3, CHPT1, PLCB1, ARHGEF28, WNT5B, ACSM3, ESRRG, CHRM3, FARP1, KRT19, CADPS2, PPM1L, WNK2, ATL2, PCAT1, TAOK3, NCALD, PDGFC, MEIS1, NT5C2, SIPA1L3, SH3RF1, LRBA, UNC5C, STK39, BAZ2B, MAST4, STOX2, AKAP13, LRMDA, PTPRK, SNHG14, FMNL2, PAN3, CDK6, GNAS",Salivary_epithelium,salivary gland cell,CL:0009005
dental,full,"AC016205.1, PDE4D, GMDS, MEIS2, DIAPH3, PLCB1, CHRM3, ERBB4, BRIP1, CENPP, LINC01572, SYNE2, TMEM108, NSD2, PDGFC, KANK1, DTNB, KCNMA1, CACNB4, WWOX, STARD13, FAF1, RAD51B, NAV2, SPIDR, ITGA6, NFIB, MCC, ITGA9, NFIA, PATJ, RANBP17, FRMD4B, CCSER1, STAG1, C4orf19, RBM47, MEIS1, CELF2, CDKAL1, DIAPH2",Salivary_epithelium_cycling,salivary gland cell,CL:0009005
dental,full,"COL1A2, COL1A1, CLU, COL24A1, NRG1, LINC01060, SPARC, DSPP, SLC38A11, PHEX, DOK6, GRAMD1B, MMP20, NES, AMBN, RETREG1, CREB3L1, SLC4A10, COL11A2, ADAMTS12, SATB2, MAP1B, NRG3, PCDH9, PCDH7, RASSF8, SEMA5A, MAGI2, MIR181A1HG, UTRN, FGFR1, MARCH3, AFF1, KIF26B, COLEC12, TRPM7, DCLK1, MYO1E, HIP1, AFAP1, TPST1, SLIT3, PDE4B, MTSS1, LARGE1, COL5A1, DST, IL1RAPL1, ZSWIM6, COL5A2, PLXDC2, PTN, ROBO1, FHOD3, NAV3, PDZD2, NLGN1, AGAP1, RBFOX2, EML4, COL27A1, CDK14, MAP4K3, CNTN4, SORBS2, RUNX2, PTPRK, SMYD3, MSI2, FNDC3B",Odontoblasts,odontoblast,CL:0000060
dental,full,"LDB2, PTPRM, EBF1, EMCN, TCF4, NRP1, PECAM1, PTPRG, MECOM, IGFBP7, HSPG2, COL4A1, NAV3, SPTBN1, PLEKHG1, ELMO1, PRKCH, ZFPM2, RASAL2, DOCK9, ADAMTS9, PEAK1, COL4A2, SASH1, ABLIM1, LRMDA, APBB2, ARL15, FLRT2, FBXL7, MAGI1, DOCK4, SSH2, UTRN, ZNF521, DLC1, MAP4K4, BMPR2, TTC28, MACF1, TRIO, GNAQ, ASAP1, PTK2, DIAPH2, PPP3CA, STOX2",Ednothelial_cells,endothelial cell,CL:0000115
dental,full,"GPC6, BNC2, TENM3, FBXL7, SGCZ, MIR100HG, LSAMP, SLIT3, NAV3, CNTNAP2, NLGN1, COL1A2, EBF1, SGCD, ADGRL3, PRRX1, SEMA3A, PTPRD, COL12A1, CDH11, KCNQ1OT1, ADGRB3, GRID2, FRMD4A, ROBO2, AFF3, SLIT2, CDK14, SETBP1, NCAM2, PCDH9, FBN2, IL1RAPL1, COL5A2, DLC1, PRKG1, BICC1, FLRT2, LDB2, ROBO1, GSE1, ZFHX3, PALLD, EFNA5, TMTC2, TTC28, PTPRG, MIR99AHG, DLG2, TRIO, PLXDC2, ROR1, RBFOX2",Jaw_Mesenchyme,mesenchymalï¿½stemï¿½cellï¿½ofï¿½theï¿½boneï¿½marrow,CL:0002540
dental,full,"RUNX2, COL1A1, COL1A2, FAT3, SATB2, UST, COL24A1, SOX6, ANO5, SLIT3, CD36, COL11A1, MEF2C, MYO10, SLC8A3, COL13A1, MAMDC2, CDH2, MIR181A1HG, ZBTB7C, SDK2, NCAM1, ELMO1, NEAT1, COL5A2, CPE, COL5A1, PCDH9, GPC6, GSN, CDH11, MAGI2, LDLRAD4, LGR4, MALAT1, ROBO2, ADGRB3, NAV3, CDK14, SPARC, TENM3, TRPS1, SLIT2, DLEU2, TMTC2, CADM1, DLG2, SEC31A, ROR2, PSD3, SND1, CLMP, FHOD3, KLF12, ZFHX3, LSAMP, SH3PXD2B, MAP4, KCNQ1OT1, GLG1, FGFR1, ROBO1, PRKG1, LMNA, SIK3, PLEKHA5, AHCYL2, EML4, JMJD1C, MAML3, RABGAP1L, PTPRG, FNDC3B, ADK, IGF2BP2, FRMD4B, RBFOX2, PALLD",Osteoblasts,osteoblast,CL:0000062
dental,full,"PAX7, AL589740.1, PCDH7, CLCN5, RBFOX1, DLG2, CDH13, LINC01266, ZEB2, NCOA1, PRKG1, GPC3, SPATS2L, FOXP2, SSH2, CELF2, TLN2, KCNQ1OT1, MEG3, TRIO, QKI, TCF4, RBFOX2, CUX1, CDK6, ADGRL3, FBXL7, MACF1, TTC28",Skeletal_myoblasts,skeletal muscle myoblast,CL:0000515
dental,full,"TTN, MYH3, NEB, RYR1, MYBPC1, TNNT3, LDB3, MYLPF, MYOM1, ACTN2, AGBL1, MEF2C, RBFOX1, TPM2, ANK2, MEG8, MEG3, LAMA2, CACNA2D1, DMD, HIF3A, FGF13, SGCD, PALLD, CELF2, LRRFIP1, GNAS, PRKG1, MICU1, MAP4, DLG2, SPTBN1, TMEM108, MACF1, KIF1B, SVIL, NCOA1, NAV2, QKI, PPP1R9A, RBFOX2, AKAP9",Skeletal_myocytes,cell of skeletal muscle,CL:0000188
dental,full,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, S100A9, SPINK5, SPRR3, KRT4, DSG3, AC068051.1, DSP, DSC2, EMP1, KRT17, ANXA1, PERP, PPL, KRT5, NEAT1, DOCK3, AHNAK, CAST, ANXA2, ACTG1, PITX1, RPLP1, RAB11FIP1, CDH1, CUX1, ACTB, TMOD3, ABLIM1, KRT19, LINC00511, CAMK1D, PSD3, RAB10, PTPRF, SLC24A3, FER, VIM, EXOC6B, MALAT1, NEBL, PDZD2, ADGRL2, EGFR, GTF2IRD1, KDM2A, ROBO2, ARL15, DLG1",Oral_epithelium,oral mucosa squamous cell,CL:1001576
dental,full,"KRT17, KRT5, NLGN1, PRKCA, CASC15, SLC20A2, DST, TNFRSF19, LINC01060, CUX2, PLXDC2, SCUBE3, MIR99AHG, MPPED1, RYR2, ENOX1, KCNIP4, RPLP1, FRAS1, BNC2, ROR2, PSD3, PCDH7, ARHGAP26, SDK1, ADGRL3, TENM3, AFF3, MSI2, CNTN4, EXOC6B, MACF1, LAMB1, C9orf3, ATXN1, CUX1, AHCYL2, MAGI1, TRIO, NRXN3, FGFR2, KANK1, HMGA2, WWOX, FLNB, GRIP1, MAML3, EFNA5, ASAP1, GTF2IRD1, PALLD, CADM1",Dental_epithelium,preameloblast,CL:0007000
dental,full,"SGCZ, COL1A1, COL1A2, GPC6, VIM, COL12A1, MIR100HG, TENM3, BNC2, ACTG1, EBF1, NCAM2, NAV3, CNTNAP2, FBN2, CDH11, COL3A1, ADGRL3, COL5A1, SLIT2, IGFBP5, SGCD, COL6A2, LSAMP, PCDH9, COL5A2, PRRX1, FOXP2, NLGN1, KCNQ1OT1, ALCAM, CDK14, ZFHX3, FLRT2, AFF3, FRMD4A, SETBP1, SLIT3, CAMK1D, GSE1, TRIO, SDK1, PALLD",Respiratory_epithelium,respiratory epithelial cell,CL:0002368
dental,full,"ROBO1, DLG2, SOX5, CDH12, KCNIP4, COL3A1, LSAMP, SATB2, COL1A1, COL1A2, NLGN1, TMTC2, PTPRD, HDAC9, RUNX2, PTCH1, PTN, NRXN1, CDH11, VCAN, RSPO4, PLXDC2, GALNTL6, CACNB2, ROBO2, ADGRL3, NRG3, SYT1, AC109466.1, HMGA2, TMEM132C, VIM, GPC6, CDH13, SLIT3, CASC15, NEGR1, TMTC1, FGF13, EPHA3, KIF26B, FBN2, NFIC, IL1RAPL1, CNTN4, FBXL7, AFF3, FAT3, ROR2, TENM3, CLMP, PCDH9, COL6A2, PRRX1, KAZN, FLRT2, PDE5A, PRKG1, KLF12, PTPRG, PRKD1, GLI3, TEAD1, PHIP, RBFOX2, DLC1, TTC28, FRMD4A, PPP3CA, SETBP1",Dental_mesenchyme,dental pulp cell,CL:4030035
dental,full,"SFMBT2, AFF3, PRKCA, ELMO1, FCHSD2, RBPJ, RUNX1, LRMDA, QKI, ITPR2, MBNL1, PLXDC2, CELF2, FRMD4A, RABGAP1L, DIAPH2",Immune_cells,leukocyte,CL:0000738
dental,full,"CNTNAP2, ANK2, KCNIP4, NCAM2, CTNNA2, LINGO2, DSCAM, XKR4, FAM155A, NCAM1, KCNH7, FSTL5, CADPS, ALK, PLXNA4, HS6ST3, RIMS2, CTNND2, MYT1L, SYT1, AKAP6, NRG1, KCNB2, CACNA2D1, NRXN1, CNTN5, KIAA1211, RBFOX1, GRID2, SLC8A1, ENOX1, SEMA6D, ADGRL3, ADGRB3, LSAMP, BNC2, PCDH9, DCLK1, DPYD, MAGI2, KCNQ5, PTPRG, FGF13, NRG3, CLASP2, GPC6, MAP1B, LRP1B, CSMD1, BICD1, EBF1, CAMTA1, SDK1, FRMD4A, AFF3, DLG2, NBEA, SLIT3, DLGAP1, MEG3, PLEKHA5, KALRN, CADM1, DST, DMD, TRIO, CNTN4, UNC5C, ZSWIM6, GSE1, MACROD2, TRIM2, MAML3, TCF4, PTPRD, ANK3, SMYD3, NCOA1",Neuronal,neuron,CL:0000540
dental,full,"GMDS, NAALADL2, CCL28, KRT19, TFCP2L1, NEBL, BARX2, EHF, MAML2, SORBS2, TSHZ2, SHANK2, ETV6, SHROOM3, ATL2, RBM47, ACSM3, PRICKLE1, PPM1L, THSD4, EFNA5, MEIS2, WNT5B, KCNMA1, FHIT, PPP1R9A, IMMP2L, AGAP1, INSR, KIAA1217, PATJ, PKP4, PACS1, LRMDA, PTPRK, ANK3, ITPR2, UBE2H, PBX1, DTNB, PALLD, FARP1, GPHN, SIPA1L3, BAZ2B",Salivary_ductal_cells,striated cell of salivary gland,CL:4052049
dental,full,"DMD, FBXO32, FGFR1, NFIB, FGFR2, KAZN, PDE4D, PLCB1, MTSS1, PTPN14, CACNB4, KANK4, AL139383.1, MRTFA, ERBB4, FHOD3, CELF2, KIAA1217, MAML2, NRXN3, CHRM3, FRMD4B, PDGFC, COL4A2, STARD13, AHCYL2, NFAT5, LPP, PARD3, IMMP2L, PBX1, MEIS1, FNDC3B, NPAS3, NEDD4L, SYNE2, ARHGAP24, SVIL, EXOC6B, NXN, PKP4, ADK",Myoepithelial_cells,myoepithelial cell,CL:0000185
dental,full,"SHANK2, GMDS, PDE4D, ETV6, RBM47, KCNMA1, EHF, DTNB, MEIS2, BARX2, SHROOM3, PACS1, ERBB4, PATJ, FHIT, SORBS2, MAML2, NAALADL2, NFIA, INSR, CCL28, C4orf19, NEBL, ITPR2, CCSER1, SLC12A2, PPP1R9A, MCC, RERE, ANK3, CHPT1, PLCB1, ARHGEF28, WNT5B, ACSM3, ESRRG, CHRM3, FARP1, KRT19, CADPS2, PPM1L, WNK2, ATL2, PCAT1, TAOK3, NCALD, PDGFC, MEIS1, NT5C2, SIPA1L3, SH3RF1, LRBA, UNC5C, STK39, BAZ2B, MAST4, STOX2, AKAP13, LRMDA, PTPRK, SNHG14, FMNL2, PAN3, CDK6, GNAS",Salivary_epithelium,salivary gland cell,CL:0009005
